Parameters,Model Number,Number of Parameter,RMSE,R2
FC_TSS_Temp_TPN_TP,193,5,4.386,0.9
FC_Oxy_TSS_Temp_TPN_TP,229,6,4.397,0.9
FC_Oxy_TSS_Temp_TPN_Turb,230,6,4.383,0.901
FC_pH_TSS_Temp_TPN_TP,234,6,4.234,0.907
FC_pH_Temp_TPN_TP_Turb,238,6,4.285,0.905
FC_TSS_Temp_TPN_TP_Turb,239,6,4.278,0.905
FC_Oxy_pH_TSS_Temp_TPN_TP,247,7,4.22,0.908
FC_Oxy_pH_TSS_Temp_TPN_Turb,248,7,4.201,0.909
FC_pH_TSS_Temp_TPN_TP_Turb,253,7,4.052,0.915
FC_Oxy_pH_TSS_Temp_TPN_TP_Turb,255,8,4.115,0.911
